,video_id,video_title,upload_date,view_count,like_count,comment_count;;
0,KKH08BnAUBY,El Metodo Rebord #47 - Máximo Kirchner,2022-11-13,354757,11749,1464;;
1,FMO13F3Btd0,El Metodo Rebord #46 - Emmanuel Alvarez Agis,2022-11-06,261335,6435,858;;
2,Wevw4zbhScM,El Metodo Rebord #45 - El Bananero,2022-10-23,651620,26377,1565;;
3,yWlSbdnh6LA,Conclave #3 - Luquitas Rodriguez y Guille Aquino,2022-10-17,667871,16500,1051;;
4,FStaQVTWz2w,El Metodo Rebord #44 - Osvaldo Carnival,2022-10-09,58409,1538,373;;
5,ICbnfgarTNQ,El Metodo Rebord #43 - Mariana Enríquez,2022-10-02,282468,8203,625;;
6,cuykltGqOP4,El Metodo Rebord #42 - Cristian Ritondo,2022-09-25,75500,1653,617;;
7,hQvveEsbSJE,Conclave #2 - Santi Maratea y Ofelia Fernández,2022-09-19,207156,5814,1178;;
8,-tD9dcvm9LQ,Conclave #1 - Carlos Maslaton e Iván Schargrodsky,2022-09-12,382730,11246,1050;;
9,j8i2dJ_fuJE,El Metodo Rebord #41 - Emmanuel Horvilleur,2022-08-28,107539,2803,373;;
10,zEyv08P7D9E,El Metodo Rebord #40 - Sergio Berni,2022-08-21,176634,4666,843;;
11,jGs9jwx3u_M,El Metodo Rebord #39 - Paulina Cocina,2022-08-14,207505,6448,512;;
12,cUxQQU45cQ4,El Metodo Rebord #38 - Jorge &quot;El Turco&quot; Asis,2022-08-07,178437,5284,738
13,ZhqKsIDmVrs,El Metodo Rebord #37 - Fernando Vaca Narvaja,2022-07-31,297741,6686,1736;;
14,BGCQ2Q4Q0w4,El Metodo Rebord #36 - Santi Maratea,2022-07-24,256668,6773,1272;;
15,DW3fnTN2zy4,El Metodo Rebord #35 - Carlos Pagni,2022-07-17,216355,7547,1197;;
16,h9YiNRCmDBY,El Metodo Rebord #34 - Jorge Capitanich,2022-07-10,92421,3021,764;;
17,xBh9Rr6QHmI,El Metodo Rebord #33 - Jorge Altamira,2022-07-03,158441,4093,1007;;
18,PbOTsaLBlfE,El Metodo Rebord #32 - Juan Grabois,2022-06-26,259354,9963,1238;;
19,CMhabU13GFE,El Metodo Rebord #31- Felipe Pigna,2022-06-19,411964,11052,923;;
20,4I37WuzVI3w,El Metodo Rebord #30 - Maria O&#39;Donnell,2022-06-12,131786,3905,572;
21,VgKcXLuhuj0,El Metodo Rebord #29 - Guillermo Moreno,2022-06-05,311773,11827,2297;;
22,KcipL7fIBUU,El Metodo Rebord #28 - Fernando &quot;Pato&quot; Galmarini,2022-05-29,105702,3635,347
23,wioqxlmXg8E,El Metodo Rebord #27 - Franco Rinaldi,2022-05-22,175114,6600,1092;;
24,1gaC5scO8E4,El Metodo Rebord #26 - Julia Mengolini,2022-05-15,181033,6410,766;;
25,ywVT9CPNGPI,El Metodo Rebord #25 - Juariu (Vicky Braier),2022-05-01,64107,1775,215;;
26,OSeKhOS8ryg,El Metodo Rebord #24 - Dillom,2022-04-24,129412,6521,461;;
27,6ogXEIrh4uo,El Metodo Rebord #23 - Sergio Chodos,2022-04-17,110381,3190,439;;
28,4OD-ZgrWedE,El Metodo Rebord #22 -  Cumbio (Agustina Vivero),2022-04-10,110198,4848,447;;
29,zm49034Y7Zc,El Metodo Rebord #21 - Mario Pergolini,2022-04-03,538138,16494,1523;;
30,OKbqQ5OQNXE,El Metodo Rebord #20 - Carlos Corach,2021-12-12,183227,3805,958;;
31,F0mS8jzzVkE,El Metodo Rebord #19 - Gustavo Grobocopatel,2021-12-05,114101,3356,879;;
32,P3viompdb5Y,El Metodo Rebord #18 - Marcela Feudale,2021-11-28,111947,4219,557;;
33,og12qCy5zcY,El Metodo Rebord #17 - Iván Schargrodsky,2021-11-21,266493,5714,638;;
34,6b-kKh2ldXg,El Metodo Rebord #16 - Damián Kuc,2021-11-14,146725,5629,646;;
35,Y1YuKsS9vYA,El Metodo Rebord #15 - Leandro Santoro,2021-11-07,92197,3639,1154;;
36,ViVQJN5IfK8,El Metodo Rebord #14 - Diego Lagomarsino,2021-10-31,223102,6731,752;;
37,Bjx4rBuDOL4,El Metodo Rebord #13 - Adrián Lakerman,2021-10-24,76785,2649,262;;
38,rskswNE_qVc,El Metodo Rebord #12 - Matías Kulfas,2021-10-16,71453,2411,296;;
39,oJoD0VI4Fiw,El Metodo Rebord #11 - Juan Cruz Komar,2021-10-08,82107,3851,439;;
40,AbNyHhxq5ZU,El Metodo Rebord #10 - Nati Jota,2021-10-03,103112,2962,406;;
41,DEtMSDpn1ws,El Metodo Rebord #9 - Mayra Arena,2021-09-26,127652,4617,522;;
42,WGWnSL1rFoY,El Metodo Rebord #8 - Fede Simonetti,2021-09-19,107829,5136,481;;
43,yeYrHc5oOsU,El Metodo Rebord #7 - Carlos Maslaton,2021-09-11,439968,12983,1323;;
44,pOvpca1-VqM,El Metodo Rebord #6 - Georgina Orellano,2021-09-05,81329,4031,445;;
45,n8CNI_zB4Rg,El Metodo Rebord #5 - Guille Aquino,2021-08-29,637614,15747,1086;;
46,lSj8bvpvaIg,El Metodo Rebord #4 - Ofelia Fernández,2021-08-22,269219,6256,527;;
47,GSNg9OX2Y5s,El Metodo Rebord #3 - Noelia Custodio,2021-08-15,249551,7055,611;;
48,OQ9ZTV1m41M,El Metodo Rebord #2 - Pedro Rosemblat,2021-08-08,297472,8037,578;;
49,iLRHAtGXWSA,El Metodo Rebord #1 - Luquitas Rodríguez,2021-08-01,189412,5936,251;;
